-,-
,
(السماك),(al-sammak)
(اليازجي),(al-yaziji)
(منصور),(mansour)
ar,en
آثر,athar
آدم,adam
آدم,adam
آسر,asir
آسر,asr
آسيا,asia
آسيا,asia
آلاء,alaa
آلاء,alaa
آلديب,al-deeb
آمال,aamal
آمال,amal
آمنة,amna
آمنة,amnah
آمنه,amna
آمنه,amnah
آنيا,ania
آنيا,ania
آيات,ayat
آيات,ayat
آية,aya
آية,ayah
آيةالله,ayatollah
آيسل,aisal
آيسل,aysel
آيلا,aila
آيلا,ayla
آيه,aya
آيه,ayah
أبرار,abarar
أبرار,abrar
أبراهيم,ibrahim
أبو,abu
أبوحمادة,abohamadah
أبودان,abudan
أبودقة,abodqh
أبوزناد,abozinad
أبوسريه,abosriah
أبوسلطان,abosultan
أبوشماله,aboshmalah
أبوعيشة,aisha
أبولبن,abolbn
أبومحيسن,abomuhaisan
أبووردة,warda
أبي,obi
أثار,athar
أثار,athar
أثال,athal
أحلام,ahlam
أحلام,ahlam
أحمد,ahmed
أحمد,ahmed
أحمدد,ahmed
أدم,adam
أدم,adam
أدهم,adham
أدهم,adhm
أديب,adeeb
أرام,aram
أربعه,arbaa
أرسلان,arslan
أركان,arkan
أروى,aroa
أروى,arwa
أريام,araiam
أريام,aryam
أريج,areej
أريج,arij
أريح,areej
أريح,arih
أرين,arin
أزاد,azad
أزهار,azhar
أزهار,azuhar
أسامة,osama
أسامة,usamah
أسامه,osama
أسامه,usamah
أسد,assad
أسعد,asaad
أسعد,asaad
أسلم,aslam
أسماء,asamaa
أسماء,asmaa
أسمهان,asmahan
أسنات,osnat
أسيد,asaid
أسيد,aseed
أسيل,asail
أسيل,aseel
أشرف,ashraf
أشرف,ashraf
أغا,agha
أفنان,afanan
أفنان,afnan
أكرم,akarm
أكرم,akram
أكمل,akmal
ألاء,alaa
ألاء,alaa
ألفت,ulfat
ألما,alama
ألما,alma
ألمى,alma
ألمى,alma
ألين,lin
ألينا,elina
أمار,amar
أمال,amal
أمامة,umama
أماني,amani
أماني,amani
أمة,amat
أمجد,amjad
أمجد,amjad
أمل,amal
أمل,aml
أمنة,amna
أمنة,amnah
أمنه,amna
أمنية,omnia
أمنيه,omnia
أمونة,amouna
أمونه,amouna
أمير,amir
أمير,amir
أميرة,amira
أميرة,amira
أميره,amira
أميره,amira
أميمة,umaima
أميمه,umaima
أمين,ameen
أمين,amin
أمينة,amina
أمينه,ameenah
أمينه,amina
أنال,anal
أنس,anas
أنس,anias
أنسام,ansam
أنصاف,insaf
أنعام,inaam
أنغام,angham
أنهار,anhar
أنوار,anwar
أنور,anwar
أنور,anwar
أنيس,aneis
أنيس,anis
أنيسه,aneisuah
أنيسه,anisa
أنين,anin
أهل,ahel
أهلة,ahla
أواب,awab
أوركيد,orchid
أوس,aws
أوس,aws
أوسم,awsam
أويس,aois
أويس,owais
أيات,ayat
أياد,iyad
أيان,ayan
أية,aya
أية,ayah
أيسل,aysel
أيلا,ayla
أيلول,aylool
أيلول,eylul
أيمن,ayman
أيمن,ayman
أيه,aya
أيه,ayah
أيهاب,ihab
أيهم,aihm
أيهم,ayham
أيوب,aiob
أيوب,ayoub
إبتسام,ibtisam
